item,source,group,level,intent,expect,metric,target,actual_metric,fired_all_rules,fired_live,missing,false_fire,suppressed,co_fired,status_live,cell_live
MIX2_WIDE-SUBPOP_L4_113,5,combo,4,WIDE_DISTRIBUTION;SUBPOP_GAP,fire,(조합),,,BIDIR_TAIL;WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,,,,BIDIR_TAIL;LOW_CPK,MAJOR,"[MAJOR][이봉] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
MIX2_WIDE-SUBPOP_L5_114,5,combo,5,WIDE_DISTRIBUTION;SUBPOP_GAP,fire,(조합),,,BIDIR_TAIL;WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,,,,BIDIR_TAIL;LOW_CPK,MAJOR,"[MAJOR][다봉] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
SUBPOP_GAP_L1_040,5,single,1,SUBPOP_GAP,not_fire,density_gap,,0.0,UNKNOWN,UNKNOWN,,,,,MONITOR,"[MONITOR] [현상] fail 이 있으나 기존 룰로 설명되지 않는 상태입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 기존 signature 로 설명되지 않는 fail — 발화 사유(단위/limit/표본/조건)를 확인하고 새 불량유형 후보로 검토"
SUBPOP_GAP_L2_041,5,single,2,SUBPOP_GAP,fire,density_gap,,0.7254,WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,,,,WIDE_DISTRIBUTION;LOW_CPK,MAJOR,"[MAJOR][이봉] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
SUBPOP_GAP_L3_042,5,single,3,SUBPOP_GAP,fire,density_gap,,0.8618,WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,,,,WIDE_DISTRIBUTION;LOW_CPK,MAJOR,"[MAJOR][이봉] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
SUBPOP_GAP_L4_043,5,single,4,SUBPOP_GAP,fire,density_gap,,0.8708,WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,,,,WIDE_DISTRIBUTION;LOW_CPK,MAJOR,"[MAJOR][이봉] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
SUBPOP_GAP_L5_044,5,single,5,SUBPOP_GAP,fire,density_gap,,0.9446,WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,WIDE_DISTRIBUTION;LOW_CPK;SUBPOP_GAP,,,,WIDE_DISTRIBUTION;LOW_CPK,MAJOR,"[MAJOR][다봉] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
TAIL_RISK_L1_045,5,single,1,TAIL_RISK,not_fire,skewness,0.05,0.05,SPEC_TOO_TIGHT,SPEC_TOO_TIGHT,,,,SPEC_TOO_TIGHT,MINOR,"[MINOR] [현상] 산포는 안정적이나 spec margin이 부족한 상태입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포는 양호(좁고·중앙·단봉)한데 cpk 낮음 — spec margin 자체 검토(spec_review)"
TAIL_RISK_L2_046,5,single,2,TAIL_RISK,fire,skewness,0.15,0.15,WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,WIDE_DISTRIBUTION;LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
TAIL_RISK_L3_047,5,single,3,TAIL_RISK,fire,skewness,0.25,0.25,WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,WIDE_DISTRIBUTION;LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
TAIL_RISK_L4_048,5,single,4,TAIL_RISK,fire,skewness,0.35,0.35,WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,WIDE_DISTRIBUTION;LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
TAIL_RISK_L5_049,5,single,5,TAIL_RISK,fire,skewness,0.45,0.45,SEVERE_OUTLIER;WIDE_DISTRIBUTION;LOW_CPK;MEAN_SHIFT,SEVERE_OUTLIER;WIDE_DISTRIBUTION;LOW_CPK;MEAN_SHIFT,,,,SEVERE_OUTLIER;WIDE_DISTRIBUTION;LOW_CPK;MEAN_SHIFT,MAJOR,"[MAJOR] [현상] outlier 성 fail 비율이 높게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] outlier 성 fail 비율 높음 — 개별 die 산발 이상, contact/retest 재현성 확인"
MIX2_GROSS-WIDE_L3_172,5,combo,3,GROSS_FAIL;WIDE_DISTRIBUTION,fire,(조합),,,GROSS_FAIL;WIDE_DISTRIBUTION;LOW_CPK;WAFER_GRADIENT,WIDE_DISTRIBUTION;LOW_CPK,,,,LOW_CPK;WAFER_GRADIENT,CRITICAL,"[CRITICAL] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
MIX2_CODERAIL-MEANSHIFT_L1_145,6,combo,1,CODE_RAIL;MEAN_SHIFT,not_fire,(조합),,,HEAVY_TAIL;SPEC_TOO_TIGHT,HEAVY_TAIL;SPEC_TOO_TIGHT,,,,HEAVY_TAIL;SPEC_TOO_TIGHT,MINOR,"[MINOR] [현상] 분포 꼬리가 두껍게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 꼬리가 두꺼움(간헐 spike) — 산발 이상치 원인(contact/노이즈) 관찰"
MIX2_CODERAIL-MEANSHIFT_L2_146,6,combo,2,CODE_RAIL;MEAN_SHIFT,fire,(조합),,,CODE_RAIL;OUTLIER_WARN;LOW_CPK;MEAN_SHIFT;HEAVY_TAIL,LOW_CPK;OUTLIER_WARN;MEAN_SHIFT;HEAVY_TAIL,,,,OUTLIER_WARN;LOW_CPK;HEAVY_TAIL,MAJOR,"[MAJOR] [현상] 공정능력지수(Cpk)가 기준(1.33) 미달입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 공정능력지수 미달(cpk<1.33) — 산포/센터링 근본 점검"
MIX2_CODERAIL-MEANSHIFT_L3_147,6,combo,3,CODE_RAIL;MEAN_SHIFT,fire,(조합),,,CODE_RAIL;SEVERE_OUTLIER;LOW_CPK;MEAN_SHIFT;HEAVY_TAIL,SEVERE_OUTLIER;LOW_CPK;MEAN_SHIFT;HEAVY_TAIL,,,,SEVERE_OUTLIER;LOW_CPK;HEAVY_TAIL,MAJOR,"[MAJOR] [현상] outlier 성 fail 비율이 높게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] outlier 성 fail 비율 높음 — 개별 die 산발 이상, contact/retest 재현성 확인"
MIX2_CODERAIL-MEANSHIFT_L4_148,6,combo,4,CODE_RAIL;MEAN_SHIFT,fire,(조합),,,CODE_RAIL;WIDE_DISTRIBUTION;LOW_CPK;MEAN_SHIFT,WIDE_DISTRIBUTION;LOW_CPK;MEAN_SHIFT,,,,WIDE_DISTRIBUTION;LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
MIX2_CODERAIL-MEANSHIFT_L5_149,6,combo,5,CODE_RAIL;MEAN_SHIFT,fire,(조합),,,CODE_RAIL;SEVERE_OUTLIER;LOW_CPK;MEAN_SHIFT,SEVERE_OUTLIER;LOW_CPK;MEAN_SHIFT,,,,SEVERE_OUTLIER;LOW_CPK,MAJOR,"[MAJOR] [현상] outlier 성 fail 비율이 높게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] outlier 성 fail 비율 높음 — 개별 die 산발 이상, contact/retest 재현성 확인"
MIX2_MEANSHIFT-HEAVYTAIL_L1_120,6,combo,1,MEAN_SHIFT;HEAVY_TAIL,not_fire,(조합),,,UNKNOWN,UNKNOWN,,,,,MONITOR,"[MONITOR] [현상] fail 이 있으나 기존 룰로 설명되지 않는 상태입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 기존 signature 로 설명되지 않는 fail — 발화 사유(단위/limit/표본/조건)를 확인하고 새 불량유형 후보로 검토"
MIX2_MEANSHIFT-HEAVYTAIL_L2_121,6,combo,2,MEAN_SHIFT;HEAVY_TAIL,fire,(조합),,,MEAN_SHIFT;HEAVY_TAIL,MEAN_SHIFT;HEAVY_TAIL,,,,,MINOR,"[MINOR] [현상] 분포 중심이 한쪽 spec으로 치우쳐 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 중심이 한쪽 spec 으로 치우침 — offset/센터링 trim 검토"
MIX2_MEANSHIFT-HEAVYTAIL_L3_122,6,combo,3,MEAN_SHIFT;HEAVY_TAIL,fire,(조합),,,MEAN_SHIFT;HEAVY_TAIL,MEAN_SHIFT;HEAVY_TAIL,,,,,MINOR,"[MINOR] [현상] 분포 중심이 한쪽 spec으로 치우쳐 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 중심이 한쪽 spec 으로 치우침 — offset/센터링 trim 검토"
MIX2_MEANSHIFT-HEAVYTAIL_L4_123,6,combo,4,MEAN_SHIFT;HEAVY_TAIL,fire,(조합),,,LOW_CPK;MEAN_SHIFT;HEAVY_TAIL,LOW_CPK;MEAN_SHIFT;HEAVY_TAIL,,,,LOW_CPK,MAJOR,"[MAJOR] [현상] 공정능력지수(Cpk)가 기준(1.33) 미달입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 공정능력지수 미달(cpk<1.33) — 산포/센터링 근본 점검"
MIX2_MEANSHIFT-HEAVYTAIL_L5_124,6,combo,5,MEAN_SHIFT;HEAVY_TAIL,fire,(조합),,,LOW_CPK;MEAN_SHIFT;HEAVY_TAIL,LOW_CPK;MEAN_SHIFT;HEAVY_TAIL,,,,LOW_CPK,MAJOR,"[MAJOR] [현상] 공정능력지수(Cpk)가 기준(1.33) 미달입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 공정능력지수 미달(cpk<1.33) — 산포/센터링 근본 점검"
UNITA_MEANSHIFT_L2_204,6,unit_axis,2,MEAN_SHIFT,fire,(조합),,,MEAN_SHIFT,MEAN_SHIFT,,,,,MINOR,"[MINOR] [현상] 분포 중심이 한쪽 spec으로 치우쳐 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 중심이 한쪽 spec 으로 치우침 — offset/센터링 trim 검토"
UNITA_MEANSHIFT_L4_205,6,unit_axis,4,MEAN_SHIFT,fire,(조합),,,MEAN_SHIFT,MEAN_SHIFT,,,,,MINOR,"[MINOR] [현상] 분포 중심이 한쪽 spec으로 치우쳐 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 중심이 한쪽 spec 으로 치우침 — offset/센터링 trim 검토"
UNITA_SEVOUT_L2_200,6,unit_axis,2,SEVERE_OUTLIER,fire,(조합),,,SEVERE_OUTLIER;HEAVY_TAIL,SEVERE_OUTLIER;HEAVY_TAIL,,,,HEAVY_TAIL,MAJOR,"[MAJOR] [현상] outlier 성 fail 비율이 높게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] outlier 성 fail 비율 높음 — 개별 die 산발 이상, contact/retest 재현성 확인"
UNITA_SEVOUT_L4_201,6,unit_axis,4,SEVERE_OUTLIER,fire,(조합),,,SEVERE_OUTLIER;SPEC_TOO_TIGHT,SEVERE_OUTLIER;SPEC_TOO_TIGHT,,,,SPEC_TOO_TIGHT,MAJOR,"[MAJOR] [현상] outlier 성 fail 비율이 높게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] outlier 성 fail 비율 높음 — 개별 die 산발 이상, contact/retest 재현성 확인"
UNITA_SPECTIGHT_L2_202,6,unit_axis,2,SPEC_TOO_TIGHT,fire,(조합),,,SPEC_TOO_TIGHT,SPEC_TOO_TIGHT,,,,,MINOR,"[MINOR] [현상] 산포는 안정적이나 spec margin이 부족한 상태입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포는 양호(좁고·중앙·단봉)한데 cpk 낮음 — spec margin 자체 검토(spec_review)"
UNITA_SPECTIGHT_L4_203,6,unit_axis,4,SPEC_TOO_TIGHT,fire,(조합),,,SPEC_TOO_TIGHT,SPEC_TOO_TIGHT,,,,,MINOR,"[MINOR] [현상] 산포는 안정적이나 spec margin이 부족한 상태입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포는 양호(좁고·중앙·단봉)한데 cpk 낮음 — spec margin 자체 검토(spec_review)"
UNITA_WIDE_L2_198,6,unit_axis,2,WIDE_DISTRIBUTION,fire,(조합),,,WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
UNITA_WIDE_L4_199,6,unit_axis,4,WIDE_DISTRIBUTION,fire,(조합),,,BIDIR_TAIL;WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,BIDIR_TAIL;LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
UNITCODE_MEANSHIFT_L2_236,6,unit_axis,2,MEAN_SHIFT,fire,(조합),,,MEAN_SHIFT,MEAN_SHIFT,,,,,MINOR,"[MINOR] [현상] 분포 중심이 한쪽 spec으로 치우쳐 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 중심이 한쪽 spec 으로 치우침 — offset/센터링 trim 검토"
UNITCODE_MEANSHIFT_L4_237,6,unit_axis,4,MEAN_SHIFT,fire,(조합),,,MEAN_SHIFT,MEAN_SHIFT,,,,,MINOR,"[MINOR] [현상] 분포 중심이 한쪽 spec으로 치우쳐 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 중심이 한쪽 spec 으로 치우침 — offset/센터링 trim 검토"
UNITCODE_SEVOUT_L2_232,6,unit_axis,2,SEVERE_OUTLIER,fire,(조합),,,SEVERE_OUTLIER;HEAVY_TAIL,SEVERE_OUTLIER;HEAVY_TAIL,,,,HEAVY_TAIL,MAJOR,"[MAJOR] [현상] outlier 성 fail 비율이 높게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] outlier 성 fail 비율 높음 — 개별 die 산발 이상, contact/retest 재현성 확인"
UNITCODE_SEVOUT_L4_233,6,unit_axis,4,SEVERE_OUTLIER,fire,(조합),,,SEVERE_OUTLIER;SPEC_TOO_TIGHT,SEVERE_OUTLIER;SPEC_TOO_TIGHT,,,,SPEC_TOO_TIGHT,MAJOR,"[MAJOR] [현상] outlier 성 fail 비율이 높게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] outlier 성 fail 비율 높음 — 개별 die 산발 이상, contact/retest 재현성 확인"
UNITCODE_SPECTIGHT_L2_234,6,unit_axis,2,SPEC_TOO_TIGHT,fire,(조합),,,SPEC_TOO_TIGHT,SPEC_TOO_TIGHT,,,,,MINOR,"[MINOR] [현상] 산포는 안정적이나 spec margin이 부족한 상태입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포는 양호(좁고·중앙·단봉)한데 cpk 낮음 — spec margin 자체 검토(spec_review)"
UNITCODE_SPECTIGHT_L4_235,6,unit_axis,4,SPEC_TOO_TIGHT,fire,(조합),,,SPEC_TOO_TIGHT,SPEC_TOO_TIGHT,,,,,MINOR,"[MINOR] [현상] 산포는 안정적이나 spec margin이 부족한 상태입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포는 양호(좁고·중앙·단봉)한데 cpk 낮음 — spec margin 자체 검토(spec_review)"
UNITCODE_WIDE_L2_230,6,unit_axis,2,WIDE_DISTRIBUTION,fire,(조합),,,WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
UNITCODE_WIDE_L4_231,6,unit_axis,4,WIDE_DISTRIBUTION,fire,(조합),,,WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
UNITHz_MEANSHIFT_L2_212,6,unit_axis,2,MEAN_SHIFT,fire,(조합),,,MEAN_SHIFT,MEAN_SHIFT,,,,,MINOR,"[MINOR] [현상] 분포 중심이 한쪽 spec으로 치우쳐 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 중심이 한쪽 spec 으로 치우침 — offset/센터링 trim 검토"
UNITHz_MEANSHIFT_L4_213,6,unit_axis,4,MEAN_SHIFT,fire,(조합),,,MEAN_SHIFT,MEAN_SHIFT,,,,,MINOR,"[MINOR] [현상] 분포 중심이 한쪽 spec으로 치우쳐 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 중심이 한쪽 spec 으로 치우침 — offset/센터링 trim 검토"
UNITHz_SEVOUT_L2_208,6,unit_axis,2,SEVERE_OUTLIER,fire,(조합),,,SEVERE_OUTLIER;HEAVY_TAIL,SEVERE_OUTLIER;HEAVY_TAIL,,,,HEAVY_TAIL,MAJOR,"[MAJOR] [현상] outlier 성 fail 비율이 높게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] outlier 성 fail 비율 높음 — 개별 die 산발 이상, contact/retest 재현성 확인"
UNITHz_SEVOUT_L4_209,6,unit_axis,4,SEVERE_OUTLIER,fire,(조합),,,SEVERE_OUTLIER;SPEC_TOO_TIGHT,SEVERE_OUTLIER;SPEC_TOO_TIGHT,,,,SPEC_TOO_TIGHT,MAJOR,"[MAJOR] [현상] outlier 성 fail 비율이 높게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] outlier 성 fail 비율 높음 — 개별 die 산발 이상, contact/retest 재현성 확인"
UNITHz_SPECTIGHT_L2_210,6,unit_axis,2,SPEC_TOO_TIGHT,fire,(조합),,,SPEC_TOO_TIGHT,SPEC_TOO_TIGHT,,,,,MINOR,"[MINOR] [현상] 산포는 안정적이나 spec margin이 부족한 상태입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포는 양호(좁고·중앙·단봉)한데 cpk 낮음 — spec margin 자체 검토(spec_review)"
UNITHz_SPECTIGHT_L4_211,6,unit_axis,4,SPEC_TOO_TIGHT,fire,(조합),,,SPEC_TOO_TIGHT,SPEC_TOO_TIGHT,,,,,MINOR,"[MINOR] [현상] 산포는 안정적이나 spec margin이 부족한 상태입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포는 양호(좁고·중앙·단봉)한데 cpk 낮음 — spec margin 자체 검토(spec_review)"
UNITHz_WIDE_L2_206,6,unit_axis,2,WIDE_DISTRIBUTION,fire,(조합),,,WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
UNITHz_WIDE_L4_207,6,unit_axis,4,WIDE_DISTRIBUTION,fire,(조합),,,WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
UNITOhm_MEANSHIFT_L2_220,6,unit_axis,2,MEAN_SHIFT,fire,(조합),,,MEAN_SHIFT,MEAN_SHIFT,,,,,MINOR,"[MINOR] [현상] 분포 중심이 한쪽 spec으로 치우쳐 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 중심이 한쪽 spec 으로 치우침 — offset/센터링 trim 검토"
UNITOhm_MEANSHIFT_L4_221,6,unit_axis,4,MEAN_SHIFT,fire,(조합),,,MEAN_SHIFT,MEAN_SHIFT,,,,,MINOR,"[MINOR] [현상] 분포 중심이 한쪽 spec으로 치우쳐 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 중심이 한쪽 spec 으로 치우침 — offset/센터링 trim 검토"
UNITOhm_SEVOUT_L2_216,6,unit_axis,2,SEVERE_OUTLIER,fire,(조합),,,SEVERE_OUTLIER;HEAVY_TAIL,SEVERE_OUTLIER;HEAVY_TAIL,,,,HEAVY_TAIL,MAJOR,"[MAJOR] [현상] outlier 성 fail 비율이 높게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] outlier 성 fail 비율 높음 — 개별 die 산발 이상, contact/retest 재현성 확인"
UNITOhm_SEVOUT_L4_217,6,unit_axis,4,SEVERE_OUTLIER,fire,(조합),,,SEVERE_OUTLIER;SPEC_TOO_TIGHT,SEVERE_OUTLIER;SPEC_TOO_TIGHT,,,,SPEC_TOO_TIGHT,MAJOR,"[MAJOR] [현상] outlier 성 fail 비율이 높게 나타납니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] outlier 성 fail 비율 높음 — 개별 die 산발 이상, contact/retest 재현성 확인"
UNITOhm_SPECTIGHT_L2_218,6,unit_axis,2,SPEC_TOO_TIGHT,fire,(조합),,,SPEC_TOO_TIGHT,SPEC_TOO_TIGHT,,,,,MINOR,"[MINOR] [현상] 산포는 안정적이나 spec margin이 부족한 상태입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포는 양호(좁고·중앙·단봉)한데 cpk 낮음 — spec margin 자체 검토(spec_review)"
UNITOhm_SPECTIGHT_L4_219,6,unit_axis,4,SPEC_TOO_TIGHT,fire,(조합),,,SPEC_TOO_TIGHT,SPEC_TOO_TIGHT,,,,,MINOR,"[MINOR] [현상] 산포는 안정적이나 spec margin이 부족한 상태입니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포는 양호(좁고·중앙·단봉)한데 cpk 낮음 — spec margin 자체 검토(spec_review)"
UNITOhm_WIDE_L2_214,6,unit_axis,2,WIDE_DISTRIBUTION,fire,(조합),,,WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
UNITOhm_WIDE_L4_215,6,unit_axis,4,WIDE_DISTRIBUTION,fire,(조합),,,WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
UNITPCT_WIDE_L2_238,6,unit_axis,2,WIDE_DISTRIBUTION,fire,(조합),,,WIDE_DISTRIBUTION;LOW_CPK,WIDE_DISTRIBUTION;LOW_CPK,,,,LOW_CPK,MAJOR,"[MAJOR] [현상] 산포가 spec 폭 대비 넓게 퍼져 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 산포가 spec 폭 대비 넓음 — 공정 변동 및 site/wafer 조건별 산포 차이 확인"
UNITSec_MEANSHIFT_L2_228,6,unit_axis,2,MEAN_SHIFT,fire,(조합),,,MEAN_SHIFT,MEAN_SHIFT,,,,,MINOR,"[MINOR] [현상] 분포 중심이 한쪽 spec으로 치우쳐 있습니다.
[과거사례] 참고할 수 있는 과거 사례가 없습니다. 
 [점검제안] 분포 중심이 한쪽 spec 으로 치우침 — offset/센터링 trim 검토"
